unix,date,symbol,open,high,low,close,Volume EUR,Volume BTC
1640217600000,2021-12-23 00:00:00,BTC/EUR,42926.0,45368.0,42420.0,44880.0,16539280.052512798,368.52228281
1640131200000,2021-12-22 00:00:00,BTC/EUR,43340.0,43970.0,42815.0,42916.0,12102827.142206,282.0120035
1640044800000,2021-12-21 00:00:00,BTC/EUR,41626.0,43722.914315,41394.0,43347.490305,14763681.579736127,340.58907392
1639958400000,2021-12-20 00:00:00,BTC/EUR,41538.57147,42155.0,40382.0,41590.0,18314141.240629,440.3496331
1639872000000,2021-12-19 00:00:00,BTC/EUR,41706.0,43022.0,41340.0,41555.0,12803637.041435601,308.11303192
1639785600000,2021-12-18 00:00:00,BTC/EUR,41082.0,42251.0,40508.0,41709.0,8280028.101367351,198.51897915
1639699200000,2021-12-17 00:00:00,BTC/EUR,42018.0,42410.0,40286.304045,41093.0,22364455.81866171,544.24003647
1639612800000,2021-12-16 00:00:00,BTC/EUR,43295.0,43810.0,41975.0,42049.0,15551424.11630584,369.84052216
1639526400000,2021-12-15 00:00:00,BTC/EUR,42959.0,43867.0,41418.546,43295.0,34005568.3225384,785.43869552
1639440000000,2021-12-14 00:00:00,BTC/EUR,41447.0,43246.0,41077.0,42989.0,18510165.772054512,430.57911959
1639353600000,2021-12-13 00:00:00,BTC/EUR,44312.0,44415.0,40557.0,41421.0,40292830.328093134,972.76334053
1639267200000,2021-12-12 00:00:00,BTC/EUR,43676.0,44889.0,43025.0,44311.0,7773377.8914573,175.4277243
1639180800000,2021-12-11 00:00:00,BTC/EUR,41698.0,43759.0,41419.0,43674.0,7674073.12660032,175.71262368
1639094400000,2021-12-10 00:00:00,BTC/EUR,42148.0,44406.0,41576.74137451,41742.0,34664462.82445626,830.44566203
1639008000000,2021-12-09 00:00:00,BTC/EUR,44525.0,44829.0,41980.02104,42154.0,18764754.63626526,445.14766419
1638921600000,2021-12-08 00:00:00,BTC/EUR,44959.0,45306.0,43197.06078,44516.0,17997034.09554548,404.28237253
1638835200000,2021-12-07 00:00:00,BTC/EUR,44757.0,46200.53402,44452.0,44919.144964,17076638.15215723,380.16391821
1638748800000,2021-12-06 00:00:00,BTC/EUR,43768.0,45188.0,41782.0,44829.0,31373909.57763468,699.85744892
